,Link,Cập nhật ngày,Tên tòa nhà,Địa chỉ,Đường,Phường,Quận,Tỉnh,Số tầng,Diện tích cho thuê,Giá thuê,Phí quản lý,Phí gửi xe máy,Phí gửi ô tô,Tiền điện,Phí ngoài giờ,Thời gian thiết kế văn phòng,Thời gian thuê,Đặt cọc,Thanh toán
0,https://vlook.vn/van-phong-cho-thue/10ab-building-thai-van-lung-quan-1/,03/02/2021,10AB BUILDING,"Thái Văn Lung. Phường Bến Nghé, Quận 1",Thái Văn Lung. Phường Bến Nghé,Thái Văn Lung. Phường Bến Nghé,Quận 1,HCM,1 Hầm – 1 Trệt – 8Tầng – 1 Thang máy,120 – 240 – 360 – 480 m2,20$ /m2,3$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
1,https://vlook.vn/van-phong-cho-thue/182-riverview-office-nguyen-van-huong-quan-2/,29/01/2021,182 RIVERVIEW OFFICE,"Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2",Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,HCM,1 Hầm – 1 Trệt – 4 Tầng – 1 Thang máy,50 – 100 – 200 – 400 – 1.000 m2,16$ /m2,2$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
2,https://vlook.vn/van-phong-cho-thue/194-golden-building-cho-thue-van-phong-quan-binh-thanh/,27/12/2020,194 GOLDEN BUILDING,"Điện Biên Phủ, Phường 25, Quận Bình Thạnh",Điện Biên Phủ,Phường 25,Quận Bình Thạnh,HCM,2 Hầm – 1 Trệt – 14 Tầng – 1 Tầng Thượng – 3 Thang máy,80 – 123 – 150 – 238 – 300 – 400 – 515 – 1030 m2,16$ /m2,3$ /m2,5$/ tháng,50$ /tháng,Theo giá nhà nước,Miễn phí,"Miễn phí từ 7-30 ngày, tùy diện tích",Tối thiểu 2 năm,3 tháng,Theo tháng
3,https://vlook.vn/van-phong-cho-thue/18hbt-building-cho-thue-van-phong-quan-1/,03/02/2021,18HBT BUILDING,"Hai Bà Trưng, Phường Bến Nghé, Quận 1",Hai Bà Trưng,Phường Bến Nghé,Quận 1,HCM,1 Hầm – 1 Trệt – 6 Tầng – 1 Thang máy,58 –  100 –  200 – 324 m2,27$ /m2,5$ /m2,6$/ tháng,60$ /tháng,Đồng hồ riêng. Miễn phí điều hòa trong giờ hành chính,Thỏa thuận,"Miễn phí từ 7-30 ngày, tùy diện tích",Tối thiểu 2 năm,3 tháng,Theo tháng hoặc theo quý
4,https://vlook.vn/van-phong-cho-thue/212-pasteur-quan-3/,03/02/2021,212 PASTEUR,"Pasteur, Phường 6, Quận 3",Pasteur,Phường 6,Quận 3,HCM,1 Hầm – 1 Trệt – 7 Tầng – 1 Thang máy,157 – 171 – 1000 m2,14$ /m2,3$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
5,https://vlook.vn/van-phong-cho-thue/216-khanh-hoi-quan-4/,26/01/2021,216 KHÁNH HỘI,"Khánh Hội, Phường 5, Quận 4",Khánh Hội,Phường 5,Quận 4,HCM,1 Trệt – 1 Tầng – 1 Thang bộ,40 – 72 – 144 m2,10$ /m2,0$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  3  năm,3  tháng,Theo tháng hoặc theo quý
6,https://vlook.vn/van-phong-cho-thue/194-south-tower-quoc-lo-50-huyen-binh-chanh/,28/01/2021,194 SOUTH TOWER,"Quốc Lộ 50, Xã Bình Hưng, Huyện Bình Chánh",Quốc Lộ 50,Xã Bình Hưng,Huyện Bình Chánh,HCM,1 Hầm – 1 Trệt – 14 Tầng – 4 Thang máy,50 – 115 – 384 – 428 – 932 – 2.000 – 8.000 m2,7$ /m2,3$ /m2,70.000đ /tháng,800.000đ /tháng,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
7,https://vlook.vn/van-phong-cho-thue/181-building-cho-thue-van-phong-quan-1/,03/02/2021,181 BUILDING,"Điện Biên Phủ, Phường Đa Kao, Quận 1",Điện Biên Phủ,Phường Đa Kao,Quận 1,HCM,1 Hầm – 1 Trệt – 8 Tầng – 1 Thang máy,10 – 14 – 20 – 66 – 90 – 110 – 176 m2,16$ /m2,3$ /m2,140.000đ / tháng,Thương lượng,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ 7-30 ngày, tùy diện tích",Tối thiểu 2 năm,3 tháng,Theo tháng
8,https://vlook.vn/van-phong-cho-thue/146-nct-office-building-nguyen-cong-tru-quan-1-gia-re/,03/02/2021,146 NCT OFFICE BUILDING,"Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1",Nguyễn Công Trứ,Phường Nguyễn Thái Bình,Quận 1,HCM,1 Trệt – 1 Lửng – 8 Tầng – 2 Thang máy,38 – 56 – 117 – 133 m2,12$ /m2,3$ /m2,120.000đ /tháng,1.200.000đ /tháng,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
9,https://vlook.vn/van-phong-cho-thue/151-dao-duy-anh-building-van-phong-cho-thue-quan-phu-nhuan/,22/12/2020,151 ĐÀO DUY ANH,"Đào Duy Anh, Phường 9, Quận Phú Nhuận",Đào Duy Anh,Phường 9,Quận Phú Nhuận,HCM,1 Trệt – 5 Tầng – 1 Thang máy,30 – 40 – 75 m2,10$ /m2,1$ /m2,6$ /tháng,60$ /tháng,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
10,https://vlook.vn/van-phong-cho-thue/12-nguyen-van-thu-quan-1/,03/02/2021,12 NGUYỄN VĂN THỦ,"Nguyễn Văn Thủ, Phường Đa Kao, Quận 1",Nguyễn Văn Thủ,Phường Đa Kao,Quận 1,HCM,1 Trệt – 6 Tầng – 1 Thang máy,16 – 32 – 70 – 140 – 204 m2,11.5$ /m2,0$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  1  năm,3  tháng,Theo tháng hoặc theo quý
11,https://vlook.vn/van-phong-cho-thue/144-cong-hoa-building-van-phong-cho-thue-quan-tan-binh/,22/12/2020,144 CỘNG HÒA BUILDING,"Cộng Hòa, Phường 12, Quận Tân Bình",Cộng Hòa,Phường 12,Quận Tân Bình,HCM,1 Hầm – 1 Trệt – 8 Tầng,50 – 100 – 200 –> 1.000 m2,15$ /m2,5$ /m2,150.000đ /tháng,1.300.000đ /tháng,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
12,https://vlook.vn/van-phong-cho-thue/12-dao-duy-anh-quan-phu-nhuan/,22/12/2020,12 ĐÀO DUY ANH,"Đào Duy Anh, Phường 9, Quận Phú Nhuận",Đào Duy Anh,Phường 9,Quận Phú Nhuận,HCM,1 Trệt – 6 Tầng – 1 Thang máy,40 – 80 m2,8$ /m2,1$ /m2,100.000đ /tháng,1.200.000đ /tháng,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
13,https://vlook.vn/van-phong-cho-thue/130-nct-office-building-nguyen-cong-tru-quan-1/,03/02/2021,130 NCT OFFICE BUILDING,"Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1",Nguyễn Công Trứ,Phường Nguyễn Thái Bình,Quận 1,HCM,1 Trệt – 1 Lửng – 6 Tầng – 1 Thang máy,75 – 150 – 225 – 300 – 450 – 600 m2,11$ /m2,2$ /m2,200.000đ /tháng,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng
14,https://vlook.vn/van-phong-cho-thue/222-building-dien-bien-phu-quan-3/,03/02/2021,222 BUILDING,"Điện Biên Phủ, Phường 7, Quận 3",Điện Biên Phủ,Phường 7,Quận 3,HCM,1 Hầm – 1 Trệt – 1 Lửng – 9 Tầng – 2 Thang máy,75 – 150 – 300 – 600 – 900 m2,25$ /m2,3$ /m2,200.000đ /tháng,1.800.000đ /tháng,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo quý
15,https://vlook.vn/van-phong-cho-thue/85-cmt8-building-cach-mang-thang-tam-quan-1/,24/02/2021,85 CMT8 BUILDING,"Cách Mạng Tháng Tám, Phường Bến Thành, Quận 1",Cách Mạng Tháng Tám,Phường Bến Thành,Quận 1,HCM,1 Trệt – 10 Tầng – 2 Thang máy,230 – 2.300 m2,20$ /m2,2$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
16,https://vlook.vn/van-phong-cho-thue/6c-building-duong-so-8-quan-thu-duc/,02/02/2021,6C BUILDING,"Đường số 8, Phường Linh Tây, Quận Thủ Đức",Đường Số 8,Phường Linh Tây,Quận Thủ Đức,HCM,1 Hầm – 1 Trệt – 3 Tầng – 1 Thang máy,60 – 80 – 140 m2,9$ /m2,0.5$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
17,https://vlook.vn/van-phong-cho-thue/678-tower-hoang-van-thai-quan-7/,19/01/2021,678 TOWER,"Hoàng Văn Thái, Phường Tân Phú, Quận 7",Hoàng Văn Thái,Phường Tân Phú,Quận 7,HCM,2 Hầm – 1 Trệt – 20 Tầng – 4 Thang máy,108 – 128 – 150 – 374 – 581 – 645 – 723,18.5$ /m2,6$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Miễn phí điện lạnh trong giờ làm việc,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo quý
18,https://vlook.vn/van-phong-cho-thue/55bis-nguyen-van-thu-quan-1/,03/02/2021,55BIS NGUYỄN VĂN THỦ,"Nguyễn Văn Thủ, Phường Đa Kao, Quận 1",Nguyễn Văn Thủ,Phường Đa Kao,Quận 1,HCM,1 Trệt – 4 Tầng – 1 Thang máy,35 – 45 – 80 m2,13.5$ /m2,0$ /m2,200.000đ /tháng,Gửi bãi ngoài,Đồng hồ riêng. Đơn giá 4.000đ /Kwh,30.000đ /giờ (từ 19:00),"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
19,https://vlook.vn/van-phong-cho-thue/494-building-duong-494-quan-9/,15/01/2021,494 Building,"Đường 494, Phường Tăng Nhơn Phú A, Quận 9",Đường 494,Phường Tăng Nhơn Phú A,Quận 9,HCM,1 Hầm – 1 Trệt – 3 Tầng – 1 Thang máy,100 – 200 – 300 m2,4$ /m2,0$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
20,https://vlook.vn/van-phong-cho-thue/3g-building-cho-thue-van-phong-quan-3/,03/02/2021,3G BUILDING,"Võ Văn Tần, Phường 5, Quận 3",Võ Văn Tần,Phường 5,Quận 3,HCM,1 Hầm – 1 Trệt – 10 Tầng,80 – 100 – 147 – 170 – 340 m2,17$ /m2,3$ /m2,150.000đ /tháng,1.200.000đ /tháng,Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo quý
21,https://vlook.vn/van-phong-cho-thue/3c-building-tran-phu-quan-5/,25/01/2021,3C BUILDING,"Trần Phú, Phường 4, Quận 5",Trần Phú,Phường 4,Quận 5,HCM,1 Trệt – 1 Lửng – 4 Tầng – 1 Sân thượng,150 – 300 – 500 m2,11$ /m2,0.7$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
22,https://vlook.vn/van-phong-cho-thue/37-ky-con-building-quan-1/,03/02/2021,37 KÝ CON BUILDING,"Ký Con, Phường Nguyễn Thái Binh, Quận 1",Ký Con,Phường Nguyễn Thái Binh,Quận 1,HCM,1 Hầm – 1 Trệt – 1 Lửng – 9 Tầng – 1 Thang máy,76 – 86 – 110 – 220 – 300 – 506 m2,16$ /m2,5$ /m2,200.000đ /tháng,Thỏa thuận,Đồng hồ riêng. Miễn phí điện máy lạnh trong giờ hành chính,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
23,https://vlook.vn/van-phong-cho-thue/32-song-hanh-building-quan-2/,29/01/2021,32 Song Hành Building,"Song Hành, Phường An Phú, Quận 2",Song Hành,Phường An Phú,Quận 2,HCM,1 Trệt – 2 Tầng – 1 Thang bộ,50 – 100 – 200 m2,17$ /m2,0$ /m2,Thỏa thuận,Thỏa thuận,Đồng hồ riêng. Theo giá nhà nước,Miễn phí,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
24,https://vlook.vn/van-phong-cho-thue/320-ntt-building-nguyen-trong-tuyen-quan-tan-binh/,22/12/2020,320 NTT BUILDING,"Nguyễn Trọng Tuyển, Phường 1, Quận Tân Bình",Nguyễn Trọng Tuyển,Phường 1,Quận Tân Bình,HCM,1 Trệt – 4 Tầng – 1 Thang Bộ,21 – 36 – 48 m2,11$ /m2,0$ /m2,5$ /tháng,50$ /tháng,Đồng hồ riêng. Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  1  năm,3  tháng,Theo tháng hoặc theo quý
25,https://vlook.vn/van-phong-cho-thue/293-dien-bien-phu-building-van-phong-cho-thue-quan-binh-thanh/,27/12/2020,293 ĐIỆN BIÊN PHỦ BUILDING,"Điện Biên Phủ, Phường 15, Quận Bình Thạnh",Điện Biên Phủ,Phường 15,Quận Bình Thạnh,HCM,1 Hầm – 1 Trệt – 7 Tầng – 1 Lửng – 2 Thang máy,50 – 80 – 100 – 200 m2,9.5$ /m2,1$ /m2,Miễn Phí,25$ /tháng,Theo giá nhà nước,Thỏa thuận,"Miễn phí từ  7-30  ngày, tùy diện tích",Tối thiểu  2  năm,3  tháng,Theo tháng hoặc theo quý
